12:05:13: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 51] Logger initialized
12:05:13: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:4.0
12:05:14: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:1.0
12:05:14: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:0.6666666666666666
12:05:15: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:0.5
12:05:15: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:0.4
12:05:16: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:0.3333333333333333
12:05:16: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:0.2857142857142857
12:05:17: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:2.5, vz:0.25
12:05:17: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:4.444444444444445, vz:0.2222222222222222
12:05:18: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:6.0, vz:0.2
12:05:18: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:1.8181818181818181, vy:5.454545454545454, vz:0.18181818181818182
12:05:19: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:3.3333333333333335, vy:5.0, vz:0.16666666666666666
12:05:19: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:4.615384615384615, vy:4.615384615384615, vz:0.15384615384615385
12:05:20: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:4.285714285714286, vy:2.857142857142857, vz:0.14285714285714285
12:05:20: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:4.0, vy:1.3333333333333333, vz:0.13333333333333333
12:05:21: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:3.75, vy:0.0, vz:0.125
12:05:21: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:2.3529411764705883, vy:0.0, vz:0.11764705882352941
12:05:22: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:1.1111111111111112, vy:0.0, vz:0.1111111111111111
12:05:22: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:0.10526315789473684
12:05:23: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:1.0, vz:0.1
12:05:23: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:1.9047619047619047, vz:0.09523809523809523
12:05:24: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:2.727272727272727, vz:0.09090909090909091
12:05:24: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.8695652173913043, vy:2.608695652173913, vz:0.08695652173913043
12:05:25: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:1.6666666666666667, vy:2.5, vz:0.08333333333333333
12:05:25: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:2.4, vy:2.4, vz:0.08
12:05:26: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:2.3076923076923075, vy:1.5384615384615385, vz:0.07692307692307693
12:05:26: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:2.2222222222222223, vy:0.7407407407407407, vz:0.07407407407407407
12:05:27: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:2.142857142857143, vy:0.0, vz:0.07142857142857142
12:05:27: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:1.3793103448275863, vy:0.0, vz:0.06896551724137931
12:05:28: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.6666666666666666, vy:0.0, vz:0.06666666666666667
12:05:28: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 90] avg velocity for trip: vx:0.0, vy:0.0, vz:0.06451612903225806
