12:02:41: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 45] Logger initialized
12:02:41: [DEBUG] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | __init__ | 34] HeartbeatSender initialized
12:02:41: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 58] heartbeat worker started
12:02:42: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:43: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:44: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:45: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:46: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:47: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:48: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:49: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:50: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:51: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:52: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender.py | run | 40] Sending heartbeat
12:02:52: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_sender_worker.py | heartbeat_sender_worker | 68] heartbeat sender worker stopped
