14:01:55: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
14:01:55: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 137] Connected!
14:01:55: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE_ALTITUDE: 1m
14:01:56: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE_ALTITUDE: -1m
14:01:56: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 360.0
14:01:57: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 360.0
14:01:57: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 360.0
14:01:58: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 358.0
14:01:58: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 362.0
14:01:59: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 423.434948822922
14:01:59: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
14:02:00: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 476.565051177078
14:02:00: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 405.0
14:02:01: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 423.434948822922
14:02:01: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
14:02:02: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 386.565051177078
14:02:02: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 405.0
14:02:03: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
14:02:03: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 405.0
14:02:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
14:02:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 495.0
14:02:05: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 333.434948822922
14:02:05: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 315.0
14:02:06: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
14:02:06: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 315.0
14:02:07: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
14:02:07: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 225.0
14:02:08: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 296.565051177078
14:02:08: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
14:02:09: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 243.43494882292202
14:02:09: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 315.0
14:02:10: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 296.565051177078
14:02:10: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
